item_id,answer,item_type
1,5,experiment
2,1,experiment
3,7,experiment
4,4,experiment
5,3,experiment
6,1,experiment
7,6,experiment
8,1,experiment
9,8,experiment
10,4,experiment
11,5,experiment
12,6,experiment
13,2,experiment
14,1,experiment
15,2,experiment
16,4,experiment
17,6,experiment
18,7,experiment
19,3,experiment
20,8,experiment
21,8,experiment
22,7,experiment
23,6,experiment
24,3,experiment
25,7,experiment
26,2,experiment
27,7,experiment
28,5,experiment
29,6,experiment
30,5,experiment
31,4,experiment
32,8,experiment
33,5,experiment
34,1,experiment
35,3,experiment
36,2,experiment
